"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000214026|MRPL23",303.762733471379,0.112411942404369,0.0651910360073019,0.0408663098745691,0.0868279729880511
"ENSG00000176601|MAP3K19",0.117111257122842,0.0171736364381372,0.387424609397571,0.829405347790575,NA
"ENSG00000132680|KHDC4",2347.15230975975,-0.0393345748837904,0.04640537635083,0.354074850239935,0.482244636409342
"ENSG00000171421|MRPL36",481.871138651013,0.172778859683806,0.0910209323054525,0.013143845284591,0.0340180014563005
"ENSG00000144504|ANKMY1",442.948486834789,-0.0291219867161364,0.0507885789838039,0.523880134561332,0.645237520688569
"ENSG00000135763|URB2",188.269216841561,-0.0108311685006486,0.0720459377531078,0.853651969785185,0.901731072215782
"ENSG00000145041|DCAF1",1020.91213710776,0.0421478728586569,0.0534493856317144,0.37527571253118,0.504221294402882
"ENSG00000118434|SPACA1",0.00459569264153097,0.000293545575370516,0.420966216288779,0.995683390724714,NA
"ENSG00000163468|CCT3",5705.05144925204,-0.0582367359599379,0.0458177722592615,0.165103352107052,0.267382450746899
"ENSG00000163873|GRIK3",79.6537440426244,0.219657538781514,0.208818592067355,0.0493731780511423,0.101537891412048
"ENSG00000102547|CAB39L",1092.81454649816,-0.242778446008142,0.06242723115707,8.83501478194374e-06,6.06439269411175e-05
"ENSG00000173826|KCNH6",1.27768947929178,0.104446305580582,0.269534022128612,0.323226853713275,0.449933414633268
"ENSG00000158711|ELK4",852.020520717291,0.132834440145345,0.0437491658226062,0.000937725938134209,0.0036449880939609
"ENSG00000103966|EHD4",3045.44368225192,-0.0569854311519331,0.050987765086625,0.213131286255874,0.326724661895641
"ENSG00000225940|C5orf67",0.442281220085831,0.0578374569283596,0.301047153843959,0.568785972054124,0.685453035195518
"ENSG00000166439|RNF169",924.912352735605,0.0423123246012103,0.043564082961844,0.293191384607152,0.416817185475071
"ENSG00000139343|SNRPF",667.647860942351,0.178341533412537,0.0929606125712122,0.0117479635603442,0.0309647147244973
"ENSG00000142765|SYTL1",44.72459462341,1.50189380209451,0.190582089855046,4.96087261419118e-16,2.34974665220561e-14
"ENSG00000146085|MMUT",1024.01010792325,-0.12365099559468,0.0574355293443263,0.01347836847676,0.0347663376607394
"ENSG00000092820|EZR",1942.44549836881,0.137931328497528,0.066966085958504,0.0139684477014326,0.0358259168121169
"ENSG00000100478|AP4S1",213.330700979027,-0.00767610180168967,0.0502343388934444,0.865483271369403,0.90942180536098
"ENSG00000181733|OR2Z1",0.156780857303809,0.00916896249403881,0.350114695262085,0.920488680135762,NA
"ENSG00000106524|ANKMY2",739.965025689746,-0.129185486651527,0.0441602838951746,0.00141376998112563,0.00518755249217692
"ENSG00000107643|MAPK8",595.87017028348,0.05348408649446,0.0378019199317079,0.132825635054528,0.225123863953519
"ENSG00000179348|GATA2",223.041181004026,0.214976991928829,0.136995946798729,0.0182221324818168,0.0446494193199293
"ENSG00000171773|NXNL1",0.306364659540809,0.0190769235089807,0.329006276517196,0.842412261117274,NA
"ENSG00000157800|SLC37A3",1120.20248557624,-0.0247237833453803,0.0373237450205007,0.482796924933592,0.608286150685011
"ENSG00000150471|ADGRL3",1050.95820058359,0.0524498449867168,0.0959203007661796,0.447983280760437,0.574697153767667
"ENSG00000140939|AC074143.1",1334.59756644076,0.0184344072581689,0.0645920009104524,0.735893167614256,0.818433226873899
"ENSG00000142409|ZNF787",366.174350283182,0.00619935974713746,0.0516517161961106,0.893545679025223,0.929414100615373
"ENSG00000047579|DTNBP1",980.245541189919,-0.0730381829840764,0.0397991857528499,0.0494600491725591,0.101642881551259
"ENSG00000198015|MRPL42",935.543922410052,-0.00489179515697919,0.0350397870393579,0.883238285237866,0.921576276774513
"ENSG00000148357|HMCN2",413.976218226648,0.458586822472995,0.238688111851966,0.00215129609220245,0.00743251708717787
"ENSG00000234511|C5orf58",1.18431248216973,0.0906516777196692,0.284809789941745,0.389094827453668,0.517930864979499
"ENSG00000169047|IRS1",765.054938319061,-0.316759080921421,0.0877416443969512,1.82996131868021e-05,0.000115362856655261
"ENSG00000170075|GPR37L1",24.7614362800497,0.0974521521539266,0.14563664918122,0.252608598567995,0.371839453773765
"ENSG00000144840|RABL3",536.434483157976,0.108027313752308,0.0446965012863801,0.00832419794132153,0.0232352037843515
"ENSG00000145916|RMND5B",1467.53806231034,-0.0921664804553428,0.0355008377292604,0.00603677188896233,0.0178051423976425
"ENSG00000205560|CPT1B",278.410682122917,0.357383650824694,0.104458142888046,3.35834776581143e-05,0.000197510305853129
"ENSG00000278535|DHRS11",196.885586976997,0.0247742614608085,0.0507669142556129,0.587592089965917,0.701400489478996
"ENSG00000143815|LBR",525.82948215135,0.339628495679275,0.0739346312297155,2.56458063672412e-07,2.51183495381206e-06
"ENSG00000243955|GSTA1",10.8130461745548,-0.0362907896844097,0.148417140061072,0.658052737194859,0.758976842925536
"ENSG00000165102|HGSNAT",3421.81044446589,-0.057135156798814,0.0518106855891246,0.217746241736779,0.332094588366836
"ENSG00000175879|HOXD8",454.820080302571,0.102978715265599,0.074987826916238,0.0886505303020397,0.163050349052395
"ENSG00000151490|PTPRO",399.746002182824,-0.24695648959249,0.120125110040832,0.00431454537790949,0.0134457533708464
"ENSG00000142549|IGLON5",19.910560300966,1.25213727826404,0.255728862101923,9.57829529439679e-08,1.02533148898707e-06
"ENSG00000171169|NAIF1",152.15885693755,0.125330787905542,0.0571570860502722,0.0119425416104196,0.0313696456731653
"ENSG00000285551|AC067752.1",0.0286898981643002,0.00138967694697562,0.420977008223523,0.979567181697746,NA
"ENSG00000168918|INPP5D",826.032929976852,0.895664373440644,0.124326110525342,4.0542600124634e-14,1.39796597690029e-12
"ENSG00000132329|RAMP1",5247.26772581058,-0.483375919375341,0.12558586880768,5.33824568238104e-06,3.88998713496915e-05
"ENSG00000198742|SMURF1",2299.08895918262,-0.112469662785992,0.0595080048490367,0.0287080440653482,0.0649840360266489
"ENSG00000070601|FRMPD1",9.39889672217541,-0.32298889435986,0.178571382329096,0.00499892938358378,0.0151775477969311
"ENSG00000117226|GBP3",844.017278892831,0.0236059422356419,0.0774333499018987,0.700463258073319,0.791874926681116
"ENSG00000169379|ARL13B",343.854957943137,0.0547883540221349,0.0529471450323924,0.245322196288192,0.36347926140138
"ENSG00000158560|DYNC1I1",738.595117791536,-0.555074640591871,0.0733031671697743,2.09110812055931e-15,8.98666465469633e-14
"ENSG00000111652|COPS7A",2183.25981062801,-0.0750822661457145,0.0404505209842231,0.0464086618210568,0.0964065811467838
"ENSG00000267618|AC004223.3",39.8602651456552,0.0511112880701145,0.105863302269124,0.480236496102102,0.605796610919175
"ENSG00000164609|SLU7",1317.72097669884,0.0611431981639588,0.0463216477941174,0.14859679079016,0.24610164994103
"ENSG00000206262|FOXL2NB",0.421708807164816,0.125333278974653,0.351850996638945,0.273658198091471,0.395331429890278
"ENSG00000124613|ZNF391",135.220429712665,-0.0877173288382506,0.0623510835488873,0.0994686172125002,0.178785783462639
"ENSG00000003756|RBM5",6619.78710470857,-0.0100960514813413,0.0434315366940271,0.801658832461,0.864986506935203
"ENSG00000111348|ARHGDIB",4725.11830054823,0.499203738540966,0.098439876034113,2.23863119150697e-08,2.74407231982562e-07
"ENSG00000188687|SLC4A5",161.351273912254,0.0161200734557124,0.0658790182605392,0.771044035145435,0.843681046964079
"ENSG00000101448|EPPIN",0.0296090896769415,-0.00203266506062311,0.420989878830772,0.970117474347927,NA
"ENSG00000186007|LEMD1",0.76405048584001,0.0410482508029309,0.30726255078112,0.679746275481358,0.775871566624444
"ENSG00000158717|RNF166",365.812470047056,0.41089360064027,0.0804635353989773,2.10288156667892e-08,2.59473201714864e-07
"ENSG00000142661|MYOM3",42.6174427240478,0.741900815541763,0.136334556624721,2.17167544513212e-09,3.30439735261036e-08
"ENSG00000213029|SPHAR",1.04504514233503,0.00372264105008289,0.128875538981206,0.961643381817918,0.97493488422698
"ENSG00000164162|ANAPC10",247.953457484587,0.105778054180264,0.0645186590880999,0.0525357962556731,0.106780566388852
"ENSG00000161847|RAVER1",797.613662854687,-0.0137322546522297,0.0464504432212573,0.746695954128946,0.825882611546311
"ENSG00000123131|PRDX4",1572.00246447326,0.113770093454603,0.060707873452328,0.0292526903765983,0.0660302849648556
"ENSG00000112237|CCNC",564.652781587658,0.0887313762848437,0.0516062047096658,0.0543284420221506,0.109624292862478
"ENSG00000143919|CAMKMT",220.270951759083,-0.253109224189045,0.0578713007376852,9.52366456122029e-07,8.28267372007411e-06
"ENSG00000189401|OTUD6A",6.4854809144129,0.23920964934489,0.178688182098326,0.0246051771796515,0.0571353745262862
"ENSG00000170099|SERPINA6",0.467802532488333,0.0292601344488722,0.369192752384872,0.741396005254875,0.822476711741541
"ENSG00000163515|RETNLB",0,0,0.501429544804061,NA,NA
"ENSG00000172154|OR8I2",0.0547892568642396,0.00302199828337447,0.379229079134862,0.970763963599699,NA
"ENSG00000167822|OR8J3",0.104985037597709,0.0022810834975745,0.332943019989038,0.980798022674807,NA
"ENSG00000233041|PHGR1",0.145459875774793,0.0169454944723497,0.352175153835689,0.853651489424006,NA
"ENSG00000198231|DDX42",4482.49208520706,-0.0934774093855757,0.0380754432151204,0.00885431919615807,0.0244534646138409
"ENSG00000132952|USPL1",667.468365941318,0.0740935616934997,0.0469016573818345,0.0828885667649399,0.154468169899338
"ENSG00000161791|FMNL3",2058.78570207375,0.358004258470067,0.0878984459806931,2.61379403958757e-06,2.06524892275933e-05
"ENSG00000182534|MXRA7",14238.4485423712,-0.241625096880926,0.0579950259908728,2.69399375989227e-06,2.12385548319024e-05
"ENSG00000115295|CLIP4",861.329695928403,-0.101050727292461,0.0762699781553021,0.0983968231862666,0.177211737274787
"ENSG00000064393|HIPK2",1604.43877331092,0.0192056541019747,0.0769548565215217,0.753384958753793,0.830495681509123
"ENSG00000134369|NAV1",7696.50391623302,-0.0841978389278589,0.0795519649071805,0.179119067207695,0.28500619996852
"ENSG00000113248|PCDHB15",412.630062565831,-0.206199647197398,0.0567479589144834,3.74196867885889e-05,0.000217243782937376
"ENSG00000165349|SLC7A3",1.61445299627805,0.0244480784769705,0.268364490143857,0.801278872315043,0.864735329833469
